timestamp,rssi_dbm,quality,phase
1788935123.437979,-57.0,1.0,unconfirmed
1788935123.9211512,-57.0,1.0,unconfirmed
1788935124.5350127,-59.0,1.0,unconfirmed
1788935124.988416,-58.0,1.0,unconfirmed
1788935125.4310248,-58.0,1.0,unconfirmed
1788935125.9844465,-57.0,1.0,unconfirmed
1788935126.4902568,-58.0,1.0,unconfirmed
1788935127.0421789,-60.0,1.0,unconfirmed
1788935127.5439246,-59.0,1.0,unconfirmed
1788935128.0080159,-59.0,1.0,unconfirmed
1788935128.5079472,-58.0,1.0,unconfirmed
1788935129.01154,-59.0,1.0,unconfirmed
1788935129.5065536,-56.0,1.0,unconfirmed
1788935130.069535,-58.0,1.0,unconfirmed
1788935130.5851612,-57.0,1.0,unconfirmed
1788935131.073932,-57.0,1.0,unconfirmed
1788935131.553014,-57.0,1.0,unconfirmed
1788935132.0985317,-58.0,1.0,unconfirmed
1788935132.5874486,-59.0,1.0,unconfirmed
1788935133.0423374,-60.0,1.0,unconfirmed
1788935133.5445755,-59.0,1.0,unconfirmed
1788935134.0464005,-57.0,1.0,unconfirmed
1788935134.5847406,-57.0,1.0,unconfirmed
1788935135.179608,-58.0,1.0,unconfirmed
1788935135.6667109,-58.0,1.0,unconfirmed
1788935136.12489,-58.0,1.0,unconfirmed
1788935136.6333668,-58.0,1.0,unconfirmed
1788935137.121161,-59.0,1.0,unconfirmed
1788935137.631723,-59.0,1.0,unconfirmed
1788935138.1606488,-59.0,1.0,unconfirmed
1788935138.621268,-59.0,1.0,unconfirmed
1788935139.1622646,-58.0,1.0,unconfirmed
1788935139.6526756,-59.0,1.0,unconfirmed
1788935140.2042491,-59.0,1.0,unconfirmed
1788935140.6854558,-60.0,1.0,unconfirmed
1788935141.205638,-59.0,1.0,unconfirmed
1788935141.6964955,-58.0,1.0,unconfirmed
1788935142.21586,-58.0,1.0,unconfirmed
1788935142.6824691,-58.0,1.0,unconfirmed
1788935143.1951685,-58.0,1.0,unconfirmed
1788935143.7172773,-58.0,1.0,unconfirmed
1788935144.211776,-59.0,1.0,unconfirmed
1788935144.7198198,-60.0,1.0,unconfirmed
1788935145.219442,-58.0,1.0,unconfirmed
1788935145.761564,-58.0,1.0,unconfirmed
1788935146.3286598,-59.0,1.0,unconfirmed
1788935146.7756288,-59.0,1.0,unconfirmed
